# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfOpen/10p-text-24         	    3580	    307947 ns/op	  46.97 MB/s	     14464 pkg-bytes	  148983 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	    4123	    297571 ns/op	  48.61 MB/s	     14464 pkg-bytes	  149092 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	    4635	    903638 ns/op	  16.01 MB/s	     14464 pkg-bytes	  149274 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	    1112	   1033499 ns/op	  14.00 MB/s	     14464 pkg-bytes	  149576 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	     925	   1105128 ns/op	  13.09 MB/s	     14464 pkg-bytes	  149388 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	     988	   1080228 ns/op	  13.39 MB/s	     14464 pkg-bytes	  149459 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	     987	   1454008 ns/op	   9.95 MB/s	     14464 pkg-bytes	  149281 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	    1047	   1177900 ns/op	  12.28 MB/s	     14464 pkg-bytes	  149269 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	    1027	   1231080 ns/op	  11.75 MB/s	     14464 pkg-bytes	  149171 B/op	    1440 allocs/op
BenchmarkPerfOpen/10p-text-24         	     993	   1172019 ns/op	  12.34 MB/s	     14464 pkg-bytes	  149770 B/op	    1440 allocs/op
BenchmarkPerfOpen/50p-image-24        	     306	   3733985 ns/op	  16.43 MB/s	     61356 pkg-bytes	  626829 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     286	   4006852 ns/op	  15.31 MB/s	     61356 pkg-bytes	  625381 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     298	   3997572 ns/op	  15.35 MB/s	     61356 pkg-bytes	  626909 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     306	   3953341 ns/op	  15.52 MB/s	     61356 pkg-bytes	  626681 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     291	   3955062 ns/op	  15.51 MB/s	     61356 pkg-bytes	  627134 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     314	   3971753 ns/op	  15.45 MB/s	     61356 pkg-bytes	  626036 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	     318	   3692906 ns/op	  16.61 MB/s	     61356 pkg-bytes	  626638 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	    1036	   1179866 ns/op	  52.00 MB/s	     61356 pkg-bytes	  624334 B/op	    6091 allocs/op
BenchmarkPerfOpen/50p-image-24        	    1089	   1122342 ns/op	  54.67 MB/s	     61356 pkg-bytes	  624583 B/op	    6092 allocs/op
BenchmarkPerfOpen/50p-image-24        	    1020	   1132918 ns/op	  54.16 MB/s	     61356 pkg-bytes	  623885 B/op	    6091 allocs/op
BenchmarkPerfOpen/100p-media-24       	     615	   2015421 ns/op	17637.16 MB/s	  35546299 pkg-bytes	 1274248 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     655	   1971695 ns/op	18028.29 MB/s	  35546299 pkg-bytes	 1273663 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     621	   2111000 ns/op	16838.61 MB/s	  35546299 pkg-bytes	 1273942 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     560	   2025934 ns/op	17545.63 MB/s	  35546299 pkg-bytes	 1274015 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     652	   1922470 ns/op	18489.91 MB/s	  35546299 pkg-bytes	 1273806 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     613	   1983601 ns/op	17920.09 MB/s	  35546299 pkg-bytes	 1274253 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     622	   2056102 ns/op	17288.20 MB/s	  35546299 pkg-bytes	 1273940 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     591	   2180188 ns/op	16304.24 MB/s	  35546299 pkg-bytes	 1273486 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     590	   2167485 ns/op	16399.79 MB/s	  35546299 pkg-bytes	 1273716 B/op	   12334 allocs/op
BenchmarkPerfOpen/100p-media-24       	     577	   2120000 ns/op	16767.12 MB/s	  35546299 pkg-bytes	 1273745 B/op	   12334 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    3975	    296829 ns/op	  48.73 MB/s	     14464 pkg-bytes	  284132 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    4179	    278687 ns/op	  51.90 MB/s	     14464 pkg-bytes	  284212 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    3988	    296030 ns/op	  48.86 MB/s	     14464 pkg-bytes	  284233 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    3934	    279650 ns/op	  51.72 MB/s	     14464 pkg-bytes	  284137 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    4050	    287613 ns/op	  50.29 MB/s	     14464 pkg-bytes	  284193 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    4974	    306532 ns/op	  47.19 MB/s	     14464 pkg-bytes	  284158 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    4299	    308949 ns/op	  46.82 MB/s	     14464 pkg-bytes	  284146 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    5042	    291251 ns/op	  49.66 MB/s	     14464 pkg-bytes	  284233 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    3841	    287817 ns/op	  50.25 MB/s	     14464 pkg-bytes	  284205 B/op	    2823 allocs/op
BenchmarkPerfTraverse/10p-text-24     	    4413	    284520 ns/op	  50.84 MB/s	     14464 pkg-bytes	  284218 B/op	    2823 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     343	   3596040 ns/op	  17.06 MB/s	     61356 pkg-bytes	 5930034 B/op	   51098 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     356	   3328584 ns/op	  18.43 MB/s	     61356 pkg-bytes	 5930208 B/op	   51097 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     355	   3428027 ns/op	  17.90 MB/s	     61356 pkg-bytes	 5930244 B/op	   51097 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     336	   3546114 ns/op	  17.30 MB/s	     61356 pkg-bytes	 5929887 B/op	   51099 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     313	   3615583 ns/op	  16.97 MB/s	     61356 pkg-bytes	 5931057 B/op	   51102 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     375	   3167329 ns/op	  19.37 MB/s	     61356 pkg-bytes	 5929824 B/op	   51095 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     324	   3256069 ns/op	  18.84 MB/s	     61356 pkg-bytes	 5930622 B/op	   51101 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     360	   3463069 ns/op	  17.72 MB/s	     61356 pkg-bytes	 5930943 B/op	   51096 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     372	   3465721 ns/op	  17.70 MB/s	     61356 pkg-bytes	 5930151 B/op	   51095 allocs/op
BenchmarkPerfTraverse/50p-image-24    	     380	   3739322 ns/op	  16.41 MB/s	     61356 pkg-bytes	 5929538 B/op	   51094 allocs/op
BenchmarkPerfTraverse/100p-media-24   	      99	  12293107 ns/op	2891.56 MB/s	  35546299 pkg-bytes	22649318 B/op	  193397 allocs/op
BenchmarkPerfTraverse/100p-media-24   	      97	  12743576 ns/op	2789.35 MB/s	  35546299 pkg-bytes	22644882 B/op	  193403 allocs/op
BenchmarkPerfTraverse/100p-media-24   	      99	  12947603 ns/op	2745.40 MB/s	  35546299 pkg-bytes	22645259 B/op	  193397 allocs/op
